KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
HullArmoredFullSmall,Hardened Steel Block (Small),Gehärteter Stahlblock S,Bloc acier blindé S,Blocco di Acciaio Rinforzato S,"Bloque de Acero Endurecido (Pequeño)",Bloco de Aço Temperado S,Bloco de Aço Reforçado P,Blok ze stali hartowanej S,Прочный стальной блок М,硬化スチールS,加固钢制方块 S,硬化鋼小方塊,경화 강철 블록 S,,,Gehard staal blok S,Khối thép cứng S
HullArmoredThinLarge,Hardened Steel Block (Large),Gehärteter Stahlblock L,Bloc acier blindé L,Blocco di Acciaio Rinforzato L ,"Bloque de Acero Endurecido (Grande)",Bloco de Aço Temperado L,,Blok ze stali hartowanej L,Прочный стальной блок Б,硬化スチールL,加固钢制方块 L,硬化鋼大方塊,경화 강철 블록 L,,,Gehard staal blok L,Thép tôi cứng L
HullArmoredThinLargeBlocks,Hardened Steel Thin Blocks (Large),Gehärtete Stahlblöcke L (dünn),Blocs acier blindé L (fin),Blocchi di Acciaio Rinforzato L (Sottile),"Bloques Finos de Acero Endurecido (Grandes)",Blocos de Aço Temperado L (fino),Bloco de Aço Reforçado G (fino),"Bloki stalowe, hartowane, płaskie L (grupa)",Прочные стальные блоки Б (тонкие),硬化スチールL (薄型),加固钢制方块 L (薄型),硬化鋼大方塊（薄）,경화 강철 블록 L(얇음),,,Gehard staal blokken L (Smal),Khối thép cứng L (mỏng)
HullArmoredThinSmall,Hardened Steel Block (Small),Gehärteter Stahlblock S,Bloc acier blindé S,Blocco di Acciaio Rinforzato S,"Bloque de Acero Endurecido (Pequeño)",Bloco de Aço Temperado S,,Blok ze stali hartowanej S,Прочный стальной блок М,硬化スチールL,加固钢制方块 S,硬化鋼小方塊,경화 강철 블록 S,,,Gehard staal blok S,Khối thép cứng S
HullArmoredThinSmallBlocks,Hardened Steel Thin Blocks (Small),Gehärtete Stahlblöcke S (dünn),Blocs acier blindé S (fin),Blocchi di Acciaio Rinforzato S (Sottile),"Bloques Finos de Acero Endurecido (Pequeños)",Blocos de Aço Temperado S (fino),Blocos de Aço Reforçado P (fino),"Bloki stalowe, hartowane, płaskie S (grupa)",Прочные стальные блоки М (тонкие),硬化スチールS (薄型),加固钢制方块 S (薄型),硬化鋼小方塊（薄）,경화 강철 블록 S(얇음),,,Gehard staal blokken S (Smal),Khối thép cứng S (mỏng)
HullCombatFullLarge,Combat Steel Block (Large),Gefechts-Stahlblock L,Bloc acier militaire L,Blocco di Acciaio da Combattimento L,"Bloque de Acero de Combate (Grande)",Bloco de Aço Combate L,Bloco de Aço de Combate G,Blok ze stali bojowej L,Блок из оружейной стали Б,戦闘用スチールL,战术钢制方块 L,戰鬥鋼大方塊,전투용 강철 블록 L,,,Gewapend staal blok L,Khối thép chiến đấu L
HullCombatLargeBlocks,Combat Steel Blocks (Large),Gefechts-Stahlblöcke L,Blocs acier militaire L,Blocchi di Acciaio da Combattimento L,"Bloques de Acero de Combate (Grandes)",Blocos de Aço Combate L,Blocos de Aço de Combate G,,Блоки из оружейной стали Б,戦闘用スチールL,战术钢制方块组 L,戰鬥鋼大方塊,전투용 강철 블록 L,,,Gewapend staal blokken L,Khối thép chiến đấu L
HullCombatThinLarge,Combat Steel Block (Large),Gefechts-Stahlblock L,Bloc acier militaire L,Blocco di Acciaio da Combattimento L,"Bloque de Acero de Combate (Grande)",Bloco de Aço Combate L,Bloco de Aço de Combate G,Blok ze stali bojowej L,Блок из оружейной стали Б,戦闘用スチールL,战术钢制方块 L,戰鬥鋼大方塊,전투용 강철 블록 L,,,Gewapend staal blok L,Khối thép chiến đấu L
HullCombatThinLargeBlocks,Combat Steel Thin Blocks (Large),Gefechts-Stahlblöcke L (dünn),Blocs acier militaire L(fin),Blocchi di Acciaio da Combattimento L (Sottile),"Bloques Finos de Acero de Combate (Grandes)",Blocos de Aço Combate L (fino),Bloco de Aço de Combate G (fino),"Blok ze stali bojowej, płaskie L (grupa)",Блоки из оружейной стали Б (тонкие),戦闘用スチールL (薄型),,戰鬥鋼大方塊（薄）,전투용 강철 블록 L(얇음),,,Gewapend staal blokken L (Smal),Khối thép chiến đấu L (mỏng)
HullCombatSmallBlocks,Combat Steel Blocks (Small),Gefechts-Stahlblöcke S,Blocs de combat acier S,Blocchi Acciaio da Combattimento S,"Bloques de Acero de Combate (Pequeños)",,Blocos de Aço de Combate S,"Bloki stalowe, pancerne S (grupa)",Блоки оружейной стали М,戦闘用スチールS,战术钢制方块组 S,戰術鋼製方塊組 S,,,Ατσάλινα Μπλοκ Μάχης S,Gevechtsstalen blokken S,Khối thép chiến đấu S
HullCombatFullSmall,Combat Steel Block (Small),Gefechts-Stahlblock S,Bloc de combat acier S,Blocchi Acciaio da Combattimento S,"Bloque de Acero de Combate (Pequeño)",,Bloco de Aço de Combate S,,Блок оружейной стали М,戦闘用スチールS,战术钢制方块 S,戰術鋼製方塊 S,,,Ατσάλινο Μπλοκ Μάχης S,Gevechtsstalen blokken S,Khối thép chiến đấu S
HullCombatThinSmall,Combat Steel Thin Block (Small),Gefechts-Stahlblock S (dünn),Blocs de combat acier S (fin),Blocchi Acciaio da Combattimento S (fino),"Bloque Fino de Acero de Combate (Pequeño)",,Bloco de Aço de Combate S (fino),,Блок оружейной стали М (тонкий),戦闘用スチールS(薄型),战术钢制方块 S （薄型）,戰術鋼製方塊 S （薄型）,,,Ατσάλινο Μπλοκ Μάχης S (λεπτό),Gevechtsstalen blokken S (smal),Khối thép chiến đấu S (mỏng)
PlasticSmallBlocks,Carbon Fiber Blocks (Small),Kohlenstoffverbund-Blöcke S,Blocs composite de carbone S,Blocchi di Carbonio Composito S,"Bloques de Fibra de Carbono (Pequeños)",,Blocos de Compostos de Carbono S,,Углеродные Композитные Блоки М,カーボンS,碳复合材料组 S,碳複合材料組 S,,,Μπλοκ Συνθετικού Άνθρακα S,,Khối tổng hợp carbon S
PlasticLargeBlocks,Carbon Fiber Blocks (Large),Kohlenstoffverbund-Blöcke L,Blocs composite de carbone L,Blocchi di Carbonio Composito L,"Bloques de Fibra de Carbono (Grandes)",,Blocos de Compostos de Carbono L,Bloki z włókien węglowych L,Углеродные Композитные Блоки Б,カーボンL,碳复合材料组 L,碳複合材料組 L,,,Μπλοκ Συνθετικού Άνθρακα L,,Khối tổng hợp carbon L
PlasticFullLarge,Carbon Fiber Block (Large),Kohlenstoffverbund-Block L,Bloc composite de carbone L,Blocco di Carbonio Composito L,"Bloque de Fibra de Carbono (Grande)",,Blocos de Compostos de Carbono L,,Углеродный Композитный Блок Б,カーボンL,碳复合材料方块 L,碳複合材料方塊 L,,,Μπλοκ Συνθετικού Άνθρακα L,,Khối tổng hợp carbon L
PlasticThinLarge,Carbon Fiber Thin Block (Large),Kohlenstoffverbund-Block L (dünn),Bloc composite de carbone L (fin),Blocco di Carbonio Composito L (sottile),"Bloque Fino de Fibra de Carbono (Grande)",,Blocos de Compostos de Carbono L (fino),"Blok z włókna węglowego, płaski L",Углеродный Композитный Блок Б (тонкий),カーボンL(薄型),碳复合材料方块 L (薄型),碳複合材料方塊 L (薄型),,,Μπλοκ Συνθετικού Άνθρακα L (λεπτό),,Khối tổng hợp carbon L (mỏng)
PlasticFullSmall,Carbon Fiber Block (Small),Kohlenstoffverbund-Block S,Bloc composite de carbone S,Blocco di Carbonio Composito S,"Bloque de Fibra de Carbono (Pequeño)",,Blocos de Compostos de Carbono S,Blok z włókna węglowego S,Углеродный Композитный Блок М,カーボンS,碳复合材料方块 S,碳複合材料方塊 S,,,Μπλοκ Συνθετικού Άνθρακα S,,Khối tổng hợp carbon S
PlasticThinSmall,Carbon Fiber Thin Block (Small),Kohlenstoffverbund-Block S (dünn),Bloc composite de carbone S (fin),Blocco di Carbonio Composito S (sottille),"Bloque Fino de Fibra de Carbono (Pequeño)",,Blocos de Compostos de Carbono S (fino),"Blok z włókna węglowego, płaski S",Углеродный Композитный Блок М (тонкий),カーボンS(薄型),碳复合材料方块 S (薄型),碳複合材料方塊 S (薄型),,,Μπλοκ Συνθετικού Άνθρακα S (λεπτό),,Khối tổng hợp carbon S (mỏng)
HullDestroyed,Steel Blocks (Damaged),Stahlblöcke - zerstört,Blocs acier - détruits,Blocchi di Acciaio - Distrutti,"Bloques de Acero (Dañados)",Blocos de Aço - Destruídos,Blocos de Aço - Destruído,,Стальные блоки - разбитые,スチール - 破損,钢制方块 - 已损毁,鋼鐵方塊 - 已摧毀,강철 블록 - 파괴됨,,,Stalen blokken - Vernietigd,Khối thép - bị phá hủy
HullFull,Steel Block,Stahlblock,Bloc acier,Blocco di Acciaio,"Bloque de Acero",Bloco de Aço,Bloco de Aço,Blok stalowy,Стальной блок,スチール,钢制方块,鋼鐵方塊,강철 블록,,,Stalen blok,Khối thép
HullFullLarge,Steel Block (Large),Stahlblock L,Bloc acier L,Blocco di Acciaio L,"Bloque de Acero (Grande)",Bloco de Aço L,Bloco de Ferro G,Blok stalowy L,Стальной блок Б,スチールL,钢制方块 L,鋼鐵大方塊,강철 블록 L,,,Stalen blok L,Khối thép L
HullFullLargeDestroyed,Steel Block (Large) - Damaged,Stahlblock L - zerstört,Bloc acier L - détruit,Blocco di Acciaio L - Distrutto,"Bloque de Acero (Grande) - Dañado",Bloco de Aço - Destruído,Bloco de Aço G - Destruído,Blok stalowy L - zniszczony,Стальной блок Б - разбитый,スチールL - 破損,钢制方块 L - 已损毁,鋼鐵大方塊 - 已摧毀,강철 블록 L - 파괴됨,,,Stalen blok L - Vernietigd,Khối thép L - Đã phá hủy
HullFullSmall,Steel Block (Small),Stahlblock S,Bloc acier S,Blocco di Acciaio S,"Bloque de Acero (Pequeño)",Bloco de Aço S,Bloco de Aço P,Blok stalowy S,Стальной блок М,スチールS,钢制方块 S,鋼鐵小方塊,강철 블록 S,,,Stalen blok S,Khối thép S
HullFullSmallDestroyed,Steel Block (Small) - Damaged,Stahlblock S - zerstört,Bloc acier S - détruit,Blocco di Acciaio S - Distrutto,"Bloque de Acero (Pequeño) - Dañado",Bloco de Aço S - Destruído,Blocos de Aço P - Destruído,Blok stalowy S - zniszczony,Стальной блок М - разбитый,スチールS - 破損,钢制方块 S - 已损毁,鋼鐵小方塊 - 已摧毀,강철 블록 S - 파괴됨,,,Stalen blok S - Vernietigd,Khối thép S - Bị phá hủy
HullLargeBlocks,Steel Blocks (Large),Stahlblöcke L,Blocs acier L,Blocchi di Acciaio L,"Bloques de Acero (Grandes)",Blocos de Aço L,Blocos de Aço G,,Стальные блоки Б,スチールL,钢制方块 L,鋼鐵大方塊,강철 블록 L,,,Stalen blokken L,Khối thép L
HullLargeDestroyedBlocks,Steel Blocks (Large) - Damaged,Stahlblöcke L - zerstört,Blocs acier L - détruits,Blocchi di Acciaio L - Distrutti,"Bloques de Acero (Grandes) - Dañados",Blocos de Aço L - Destruídos,Blocos de Aço G - Destruído,,Стальные блоки Б - разбитые,スチールL - 破損,钢制方块 L - 已损毁,鋼鐵大方塊 - 已摧毀,강철 블록 L - 파괴됨,,,Stalen blokken L - Vernietigd,Khối thép L - Bị phá hủy
HullSmallBlocks,Steel Blocks (Small),Stahlblöcke S,Blocs acier S,Blocchi di Acciaio S,"Bloques de Acero (Pequeños)",Blocos de Aço S,Blocos de Aço P,,Стальные блоки М,スチールS,钢制方块 S,鋼鐵小方塊,강철 블록 S,,,Stalen blokken S,Khối thép S
HullSmallDestroyedBlocks,Steel Blocks (Small) - Damaged,Stahlblöcke S - zerstört,Blocs acier S - détruits,Blocchi di Acciaio S - Distrutti,"Bloques de Acero (Pequeños) - Dañados",Blocos de Aço S - Destruídos,Blocos de Aço P - Destruído,,Стальные блоки М - разбитые,スチールS - 破損,钢制方块 S - 已损毁,鋼鐵小方塊 - 已摧毀,강철 블록 S - 파괴됨,,,Stalen blokken S - Vernietigd,Khối thép S - Bị phá hủy
HullThin,Steel Block,Stahlblock,Bloc acier,Blocco di Acciaio,"Bloque de Acero",Bloco de Aço,Bloco de Aço,Blok stalowy,Стальной блок,スチール,钢制方块,鋼鐵方塊,강철 블록,,,Stalen blok,Khối thép
HullThinLarge,Steel Block (Large),Stahlblock L,Bloc acier L,Blocco di Acciaio L,"Bloque de Acero (Grande)",Bloco de Aço L,Bloco de Ferro G,Blok stalowy L,Стальной блок Б,スチールL,钢制方块 L,鋼鐵大方塊,강철 블록 L,,,Stalen blok L,Khối thép L
HullThinLargeBlocks,Steel Thin Blocks (Large),Stahlblöcke L (dünn),Bocs acier L (fin),Blocchi di Acciaio L (Sottile),"Bloques Finos de Acero (Grandes)",Blocos de Aço L (fino),Blocos de Aço G (fino),"Bloki stalowe, płaskie L (grupa)",Стальные блоки Б (тонкие),スチールL (薄型),钢制方块 L (薄型),鋼鐵大方塊（薄）,강철 블록 L(얇음),,,Stalen blokken L (Smal),Khối thép L (mỏng)
HullThinLargeDestroyed,Steel Thin Blocks (Large) - Damaged,Stahlblöcke L (dünn) - zerstört,Blocs acier L (fin) - détruits,Blocchi di Acciaio L (Sottile) - Distrutti,"Bloques Finos de Acero (Grandes) - Dañados",Blocos de Aço (fino) - Destruídos,Blocos de Aço G (fino) - Destruído,"Bloki stalowe, płaskie, zniszczone L (grupa)",Стальные блоки Б (тонкие) - разбитые,薄型スチールL(破損),钢制方块 L (薄型)- 已损毁,鋼鐵大方塊（薄） - 已摧毀,강철 블록 L(얇음) - 파괴됨,,,Stalen blokken L (Smal) - Vernietigd,Khối thép L (mỏng) - Đã phá hủy
HullThinSmall,Steel Block (Small),Stahlblock S,Bloc acier S,Blocco di Acciaio S,"Bloque de Acero (Pequeño)",Bloco de Aço S,Bloco de Aço P,Blok stalowy S,Стальной блок М,スチールS,钢制方块 S,鋼鐵小方塊,강철 블록 S,,,Stalen blok S,Khối thép S
HullThinSmallBlocks,Steel Thin Blocks (Small),Stahlblöcke S (dünn),Blocs acier S (fin),Blocchi di Acciaio S (Sottile),"Bloques Finos de Acero (Pequeños)",Blocos de Aço S (fino),Blocos de Aço P (fino),"Bloki stalowe, płaskie S (grupa)",Стальные блоки М (тонкие),スチールS (薄型),钢制方块 S (薄型),鋼鐵小方塊（薄）,강철 블록 S(얇음),,,Stalen blokken S (Smal),Khối thép S (mỏng)
HullThinSmallDestroyed,Steel Thin Blocks (Small) - Damaged,Stahlblöcke S (dünn) - zerstört,Blocs acier S (fin) - détruits,Blocchi di Acciaio S (Sottile) - Distrutti,"Bloques Finos de Acero (Pequeños) - Dañados",Blocos de Aço (fino) - Destruídos,Blocos de Aço P (fino) - Destruído,"Bloki stalowe, płaskie, zniszczone S (grupa)",Стальной блок М (тонкий) - разбитый,スチールL(薄型) - 破損,钢制方块 S (薄型)- 已损毁,鋼鐵小方塊（薄） - 已摧毀,강철 블록 S(얇음) - 파괴됨,,,Stalen blokken S (Smal) - Vernietigd,Khối thép S (mỏng) - Đã phá hủy
TrussLargeBlocks,Truss Blocks (Large),Gerüstblöcke L,Blocs treillis L,Travi L,"Bloques de Cercha (Grandes)",Blocos de Suporte L,Bloco de Treliças G,,Блоки стропил Б,トラスL,大型桁架方块组,大方塊構架,트러스 블록 L,,,Truss blokken L,Khối giàn L
TrussSmallBlocks,Truss Blocks (Small),Gerüstblöcke S,Blocs treillis S,Travi S,"Bloques de Cercha (Pequeños)",Blocos de Suporte S,Bloco de Treliças P,,Блоки стропил М,トラスS,小型桁架方块组,小方塊構架,트러스 블록 S,,,Truss blokken S,Khối giàn S
WindowArmoredLargeBlocks,Armored Windows (Large),Verstärkte Fenster L,Fenêtres blindées L,Finestre Rinforzate L,"Ventanas Blindadas (Grandes)",Blocos Janela Blindada L,Bloco de Janela Reforçada G,,Прочные окна Б,強化ウィンドL,加固大型玻璃窗方块组,裝甲窗大方塊,장갑 창 블록 L,,,Bepantserde raam blokken L,Cửa sổ L bọc thép
WindowArmoredSmallBlocks,Armored Windows (Small),Verstärkte Fenster S,Fenêtres blindées S,Finestre Rinforzate S,"Ventanas Blindadas (Pequeñas)",Blocos Janela Blindada S,Bloco de Janela Reforçada P,,Прочные окна М,強化ウィンドS,加固小型玻璃窗方块组,裝甲窗小方塊,장갑 창 블록 S,,,Bepantserde raam blokken S,Cửa sổ S bọc thép
WindowLargeBlocks,Windows (Large),Fenster L,Fenêtres L,Finestre L,"Ventanas (Grandes)",Blocos Janela L,Bloco de Janela G,,Окна Б,ラージウィンドL,大型玻璃窗方块组,窗大方塊,창 블록 L,,,Raam blokken L,Cửa sổ L
WindowShutterLargeBlocks,Shutter Windows (Large),Fenster mit Blende L,Fenêtres àjourées L,Finestre con Griglia L,"Ventanas con Persiana (Grandes)",Blocos Janela Escura L,Bloco de Persiana G,,Окна с жалюзи Б,シャッターウィンドL,大型百叶窗方块组,百葉窗大方塊,셔터 창 블록 L,,,Sluiter raam blokken L,Màn trập Cửa sổ L
WindowShutterSmallBlocks,Shutter Windows (Small),Fenster mit Blende S,Fenêtres ajourées S,Finestre con Griglia S,"Ventanas con Persiana (Pequeñas)",Blocos Janela Escura S,Bloco de Persiana P,,Окна с жалюзи М,シャッターウィンドS,小型百叶窗方块组,百葉窗小方塊,셔터 창 블록 S,,,Sluiter raam blokken S,Màn trập Cửa sổ S
WindowSmallBlocks,Windows (Small),Fenster S,Fenêtres S,Finestre S,"Ventanas (Pequeñas)",Blocos Janela S,Bloco de Janela P,,Окна М,ウィンドS,小型玻璃窗方块组,窗小方塊,창 블록 S,,,Raam blokken S,Cửa sổ S
WingBlocks,Wings,Flügel,Ailes,Ali,"Alas",Blocos Asa,Blocos de Asa,,Крылья,ウィング,机翼方块组,機翼方塊,윙 블록,,,Vleugel blokken,Cánh
WoodBlocks,Wooden Blocks,Holzblöcke,Blocs bois,Blocchi di Legno,"Bloques de Madera",Blocos Madeira,Blocos de Madeira,,Деревянные блоки,ウッド,木质方块组,木方塊,나무 블록,,,Houten blokken,Khối gỗ
WoodFull,Wooden Block,Holzblock,Bloc bois,Blocco di Legno,"Bloque de Madera",Bloco Madeira,Bloco de Madeira,Blok drewniany,Деревянный блок,ウッド,木质方块,木方塊,나무 블록,,,Houten blok,Khối gỗ
WoodThin,Wooden Thin Block,Holzblock,Bloc bois ,Blocco di Legno,"Bloque Fino de Madera",Bloco Madeira,Bloco de Madeira,Blok drewniany,Деревянный блок,ウッド,木质方块,木方塊,나무 블록,,,Houten blok,Khối gõ
WoodThinBlocks,Wooden Thin Blocks,Holzblöcke (dünn),Blocs bois (fin),Blocchi di Legno (Sottile),"Bloques Finos de Madera",Blocos Madeira (fina),Blocos de Madeira (fino),Blok drewniany (wąski),Деревянные блоки (тонкие),ウッド (薄型),木质方块 (薄型),木方塊（薄）,나무 블록(얇음),,,Houten blok (smal),Khối gỗ (mỏng)
AkuaFernDeco,Fern,Farn,Fougère,Felce,"Helecho",Feto,Samambaia,Paproć,Папоротник,シダ,蕨菜,蕨草,양치류,,,Varen,Cây dương xỉ
AlienPalmTreeDeco,Fire Palm Tree,Feuerpalme,Palmier Alien,Palma di Fuoco,"Palmera de Fuego",Palmeira Fogo,Palmeira de Fogo,Palma ogniowa,Огненная пальма,ファイアーパーム,火棕榈树,火掌樹,야자 나무,,,Vuur palmboom,Cây cọ lửa
AlienTentacleDeco,Tentacle Tree,Tentakelbaum,Tentacule Alien,Albero Tentacolo,"Árbol Tentáculo",Árvore Tentáculo,Árvore-Tentáculo,Drzewo mackowe,Щупальцевое дерево,テンタクルツリー,触手树,觸手樹,촉수 나무,,,Tentakelboom,Cây xúc tu
Antenna,Tri-Beam Antenna,Dreistrahlantenne,Antenne à trois faisceaux,Antenna a tre raggi,"Antena Tri-Rayo",Antena 06 (Deco),Antena 06 (Deco),Antena 06 (deko),Антенна 06 (декор),アンテナⅥ(Deco),天线 06 (装饰),天線06（裝飾）,안테나 06(데코),,,Antenne 06 (Deco),Ăng-ten 06 (TTri)
Antenna01,Shortwave Transmitter,Kurzwellensender,Émetteur à ondes courtes,Trasmettitore a onde corte,"Transmisor de Onda Corta",Antena 01 (Deco),Antena 01 (Deco),Antena 01 (deko),Антенна 01 (декор),アンテナⅠ(Deco),天线 01 (装饰),天線01（裝飾）,안테나 01(데코),,,Antenne 01 (Deco),Ăng-ten 01 (Trang trí)
Antenna02,Wideband Receiver,Breitbandempfänger,Récepteur large bande,Ricevitore a banda larga,"Receptor de Banda Ancha",Antena 02 (Deco),Antena 02 (Deco),Antena 02 (deko),Антенна 02 (декор),アンテナⅡ(Deco),天线 02 (装饰),天線02（裝飾）,안테나 02(데코),,,Antenne 02 (Deco),Ăng-ten 02 (TTri)
Antenna03,Radar Receiver,Radarempfänger,Récepteur Radar,Ricevitore Radar,"Receptor de Radar",Antena 03 (Deco),Antena 03 (Deco),Antena 03 (deko),Антенна 03 (декор),アンテナⅢ(Deco),天线 03 (装饰),天線03（裝飾）,안테나 03(데코),,,Antenne 03 (Deco),Ăng-ten 03 (TTri)
Antenna04,Antenna Spike,Antennenspitze,Antenne Spike,Antenna Spike,"Asta de Antena",Antena 04 (Deco),Antena 04 (Deco),Antena 04 (deko),Антенна 04 (декор),アンテナⅣ(Deco),天线 04 (装饰),天線04（裝飾）,안테나 04(데코),,,Antenne 04 (Deco),Ăng-ten 04 (TTri)
